"KW";"Monat";"Route";"Objekt";"Ort";"Leistung";"Kategorie";"Dauer"
"20";"5";"H06";"WSG-042";"Dietikon";"Fensterreinigung";"SR";"62"
"20";"5";"H06";"WSG-118";"Zürich";"Fensterreinigung";"SR";"23"
"21";"5";"H06";"WSG-039";"Dietikon";"Fensterreinigung";"SR";"48"
"21";"5";"H06";"WSG-115";"Zürich";"Fensterreinigung";"SR";"23"
"32";"8";"H06";"WSG-041";"Dietikon";"Fensterreinigung";"SR";"92"
"32";"8";"H06";"WSG-116";"Zürich";"Fensterreinigung";"SR";"24"
"33";"8";"H06";"WSG-042";"Dietikon";"Fensterreinigung";"SR";"62"
"33";"8";"H06";"WSG-118";"Zürich";"Fensterreinigung";"SR";"23"
"34";"8";"H06";"WSG-039";"Dietikon";"Fensterreinigung";"SR";"48"
"34";"8";"H06";"WSG-115";"Zürich";"Fensterreinigung";"SR";"23"
"45";"11";"H06";"WSG-041";"Dietikon";"Fensterreinigung";"SR";"92"
"45";"11";"H06";"WSG-116";"Zürich";"Fensterreinigung";"SR";"24"
"46";"11";"H06";"WSG-042";"Dietikon";"Fensterreinigung";"SR";"62"
"46";"11";"H06";"WSG-118";"Zürich";"Fensterreinigung";"SR";"23"
"47";"11";"H06";"WSG-039";"Dietikon";"Fensterreinigung";"SR";"48"
"47";"11";"H06";"WSG-115";"Zürich";"Fensterreinigung";"SR";"23"
"6";"2";"H07";"WSG-036";"Bülach";"Fensterreinigung";"SR";"36"
"6";"2";"H07";"WSG-120";"Zürich";"Fensterreinigung";"SR";"23"
"7";"2";"H07";"WSG-063";"Regensdorf";"Fensterreinigung";"SR";"95"
"8";"2";"H07";"WSG-035";"Bülach";"Fensterreinigung";"SR";"43"
"8";"2";"H07";"WSG-066";"Regensdorf";"Fensterreinigung";"SR";"94"
"19";"5";"H07";"WSG-036";"Bülach";"Fensterreinigung";"SR";"36"
"19";"5";"H07";"WSG-120";"Zürich";"Fensterreinigung";"SR";"23"
"20";"5";"H07";"WSG-063";"Regensdorf";"Fensterreinigung";"SR";"95"
