"Route";"Woche";"Tag";"Von";"Bis";"Dauer";"Art";"Kategorie";"Objekt";"Ort";"Leistungen"
"H01";"1";"Fr";"13:00";"16:07";"187";"Einsatz (Forts.)";"SR+TH+UR";"WSG-043";"Dübendorf";"Entsorgung/Kehrichtdienst, Technischer Hauswart (Kontrollgang/Kleinreparaturen), Tiefgaragenreinigung, Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"2";"Mo";"07:00";"07:50";"50";"Prep Homebase";"";"WSG-HB";"Kloten";"Material laden / Woche ruesten"
"H01";"2";"Mo";"07:50";"07:55";"5";"Fahrt";"";"";"Kloten";""
"H01";"2";"Mo";"07:55";"11:54";"239";"Einsatz";"SR+UR";"WSG-053";"Kloten";"Entsorgung/Kehrichtdienst, Tiefgaragenreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"2";"Mo";"11:54";"12:00";"6";"Fahrt";"";"";"Wallisellen";""
"H01";"2";"Mo";"12:00";"13:00";"60";"Mittagsruhe";"";"";"";""
"H01";"2";"Mo";"13:00";"13:02";"2";"Fahrt";"";"";"Wallisellen";""
"H01";"2";"Mo";"13:02";"14:32";"90";"Einsatz";"GU+TH+UR";"WSG-093";"Wallisellen";"Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"2";"Mo";"14:32";"14:40";"8";"Fahrt";"";"";"Dübendorf";""
"H01";"2";"Mo";"14:40";"16:23";"103";"Einsatz";"SR+UR";"WSG-046";"Dübendorf";"Entsorgung/Kehrichtdienst, Tiefgaragenreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"2";"Di";"07:00";"10:50";"230";"Einsatz";"SR+TH+UR";"WSG-055";"Kloten";"Entsorgung/Kehrichtdienst, Technischer Hauswart (Kontrollgang/Kleinreparaturen), Tiefgaragenreinigung, Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"2";"Di";"10:50";"10:54";"4";"Fahrt";"";"";"Kloten";""
"H01";"2";"Di";"10:54";"12:00";"66";"Einsatz";"TH+UR";"WSG-054";"Kloten";"Sanitaerreinigung, Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"2";"Di";"12:00";"13:00";"60";"Mittagsruhe";"";"";"";""
"H01";"2";"Di";"13:00";"15:14";"134";"Einsatz (Forts.)";"TH+UR";"WSG-054";"Kloten";"Sanitaerreinigung, Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"2";"Mi";"07:00";"08:28";"88";"Einsatz";"GU+UR";"WSG-052";"Kloten";"Entsorgung/Kehrichtdienst, Gartenpflege/Gruenunterhalt (Mrz-Nov), Treppenhausreinigung"
"H01";"2";"Mi";"08:28";"08:31";"3";"Fahrt";"";"";"Kloten";""
"H01";"2";"Mi";"08:31";"11:59";"208";"Einsatz";"GU+UR";"WSG-054";"Kloten";"Entsorgung/Kehrichtdienst, Gartenpflege/Gruenunterhalt (Mrz-Nov), Sanitaerreinigung, Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"2";"Mi";"11:59";"12:00";"1";"Fahrt";"";"";"Dübendorf";""
"H01";"2";"Mi";"12:00";"13:00";"60";"Mittagsruhe";"";"";"";""
"H01";"2";"Mi";"13:00";"13:15";"15";"Fahrt";"";"";"Dübendorf";""
"H01";"2";"Mi";"13:15";"15:22";"127";"Einsatz";"SR+UR";"WSG-047";"Dübendorf";"Entsorgung/Kehrichtdienst, Tiefgaragenreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"2";"Do";"07:00";"08:01";"61";"Einsatz";"GU+TH";"WSG-097";"Wallisellen";"Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen)"
"H01";"2";"Do";"08:01";"08:04";"3";"Fahrt";"";"";"Dübendorf";""
"H01";"2";"Do";"08:04";"12:00";"236";"Einsatz";"GU+TH+UR";"WSG-044";"Dübendorf";"Entsorgung/Kehrichtdienst, Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"2";"Do";"12:00";"13:00";"60";"Mittagsruhe";"";"";"";""
"H01";"2";"Do";"13:00";"17:08";"248";"Einsatz (Forts.)";"GU+TH+UR";"WSG-044";"Dübendorf";"Entsorgung/Kehrichtdienst, Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"2";"Fr";"07:00";"08:17";"77";"Einsatz";"GU+TH+UR";"WSG-095";"Wallisellen";"Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"2";"Fr";"08:17";"08:26";"9";"Fahrt";"";"";"Dübendorf";""
"H01";"2";"Fr";"08:26";"12:00";"214";"Einsatz";"GU+TH+UR";"WSG-043";"Dübendorf";"Entsorgung/Kehrichtdienst, Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"2";"Fr";"12:00";"13:00";"60";"Mittagsruhe";"";"";"";""
"H01";"2";"Fr";"13:00";"17:01";"241";"Einsatz (Forts.)";"GU+TH+UR";"WSG-043";"Dübendorf";"Entsorgung/Kehrichtdienst, Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"3";"Mo";"07:00";"07:50";"50";"Prep Homebase";"";"WSG-HB";"Kloten";"Material laden / Woche ruesten"
"H01";"3";"Mo";"07:50";"07:55";"5";"Fahrt";"";"";"Kloten";""
"H01";"3";"Mo";"07:55";"12:00";"245";"Einsatz";"GU+TH+UR";"WSG-053";"Kloten";"Entsorgung/Kehrichtdienst, Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung"
"H01";"3";"Mo";"12:00";"13:00";"60";"Mittagsruhe";"";"";"";""
"H01";"3";"Mo";"13:00";"15:14";"134";"Einsatz (Forts.)";"GU+TH+UR";"WSG-053";"Kloten";"Entsorgung/Kehrichtdienst, Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung"
"H01";"3";"Mo";"15:14";"15:22";"8";"Fahrt";"";"";"Wallisellen";""
"H01";"3";"Mo";"15:22";"16:19";"57";"Einsatz";"TH+UR";"WSG-093";"Wallisellen";"Technischer Hauswart (Kontrollgang/Kleinreparaturen), Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"3";"Mo";"16:19";"16:21";"2";"Fahrt";"";"";"Wallisellen";""
"H01";"3";"Mo";"16:21";"17:26";"65";"Einsatz";"GU+TH+UR";"WSG-096";"Wallisellen";"Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung"
"H01";"3";"Di";"07:00";"10:20";"200";"Einsatz";"TH+UR";"WSG-054";"Kloten";"Sanitaerreinigung, Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"3";"Di";"10:20";"10:29";"9";"Fahrt";"";"";"Wallisellen";""
"H01";"3";"Di";"10:29";"12:00";"91";"Einsatz";"GU+TH+UR";"WSG-094";"Wallisellen";"Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"3";"Di";"12:00";"13:00";"60";"Mittagsruhe";"";"";"";""
"H01";"3";"Di";"13:00";"13:06";"6";"Einsatz (Forts.)";"GU+TH+UR";"WSG-094";"Wallisellen";"Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"3";"Di";"13:06";"13:13";"7";"Fahrt";"";"";"Dübendorf";""
"H01";"3";"Di";"13:13";"15:04";"111";"Einsatz";"GU+TH+UR";"WSG-047";"Dübendorf";"Entsorgung/Kehrichtdienst, Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung"
"H01";"3";"Di";"15:04";"15:05";"1";"Fahrt";"";"";"Dübendorf";""
"H01";"3";"Di";"15:05";"16:56";"111";"Einsatz";"GU+TH+UR";"WSG-046";"Dübendorf";"Entsorgung/Kehrichtdienst, Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung"
"H01";"3";"Mi";"07:00";"08:38";"98";"Einsatz";"TH+UR";"WSG-052";"Kloten";"Entsorgung/Kehrichtdienst, Technischer Hauswart (Kontrollgang/Kleinreparaturen), Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"3";"Mi";"08:38";"08:39";"1";"Fahrt";"";"";"Kloten";""
"H01";"3";"Mi";"08:39";"11:48";"189";"Einsatz";"GU+TH+UR";"WSG-055";"Kloten";"Entsorgung/Kehrichtdienst, Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"3";"Mi";"11:48";"11:52";"4";"Fahrt";"";"";"Kloten";""
"H01";"3";"Mi";"11:52";"12:00";"8";"Einsatz";"UR";"WSG-054";"Kloten";"Entsorgung/Kehrichtdienst, Sanitaerreinigung, Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"3";"Mi";"12:00";"13:00";"60";"Mittagsruhe";"";"";"";""
"H01";"3";"Mi";"13:00";"16:00";"180";"Einsatz (Forts.)";"UR";"WSG-054";"Kloten";"Entsorgung/Kehrichtdienst, Sanitaerreinigung, Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"3";"Mi";"16:00";"16:08";"8";"Fahrt";"";"";"Wallisellen";""
"H01";"3";"Mi";"16:08";"16:55";"47";"Einsatz";"GU+TH";"WSG-092";"Wallisellen";"Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen)"
"H01";"3";"Do";"07:00";"12:00";"300";"Einsatz";"TH+UR";"WSG-044";"Dübendorf";"Entsorgung/Kehrichtdienst, Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"3";"Do";"12:00";"13:00";"60";"Mittagsruhe";"";"";"";""
"H01";"3";"Do";"13:00";"15:05";"125";"Einsatz (Forts.)";"TH+UR";"WSG-044";"Dübendorf";"Entsorgung/Kehrichtdienst, Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"3";"Fr";"07:00";"12:00";"300";"Einsatz";"TH+UR";"WSG-043";"Dübendorf";"Entsorgung/Kehrichtdienst, Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"3";"Fr";"12:00";"13:00";"60";"Mittagsruhe";"";"";"";""
"H01";"3";"Fr";"13:00";"14:24";"84";"Einsatz (Forts.)";"TH+UR";"WSG-043";"Dübendorf";"Entsorgung/Kehrichtdienst, Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"4";"Mo";"07:00";"07:50";"50";"Prep Homebase";"";"WSG-HB";"Kloten";"Material laden / Woche ruesten"
"H01";"4";"Mo";"07:50";"07:51";"1";"Fahrt";"";"";"Kloten";""
"H01";"4";"Mo";"07:51";"10:40";"169";"Einsatz";"TH+UR";"WSG-055";"Kloten";"Entsorgung/Kehrichtdienst, Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"4";"Mo";"10:40";"10:45";"5";"Fahrt";"";"";"Kloten";""
"H01";"4";"Mo";"10:45";"12:00";"75";"Einsatz";"UR";"WSG-053";"Kloten";"Entsorgung/Kehrichtdienst, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"4";"Mo";"12:00";"13:00";"60";"Mittagsruhe";"";"";"";""
"H01";"4";"Mo";"13:00";"13:52";"52";"Einsatz (Forts.)";"UR";"WSG-053";"Kloten";"Entsorgung/Kehrichtdienst, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"4";"Di";"07:00";"10:20";"200";"Einsatz";"TH+UR";"WSG-054";"Kloten";"Sanitaerreinigung, Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"4";"Di";"10:20";"10:29";"9";"Fahrt";"";"";"Wallisellen";""
"H01";"4";"Di";"10:29";"11:59";"90";"Einsatz";"GU+TH+UR";"WSG-093";"Wallisellen";"Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"4";"Di";"11:59";"12:00";"1";"Fahrt";"";"";"Dübendorf";""
"H01";"4";"Di";"12:00";"13:00";"60";"Mittagsruhe";"";"";"";""
"H01";"4";"Di";"13:00";"13:07";"7";"Fahrt";"";"";"Dübendorf";""
"H01";"4";"Di";"13:07";"14:22";"75";"Einsatz";"UR";"WSG-047";"Dübendorf";"Entsorgung/Kehrichtdienst, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"4";"Mi";"07:00";"08:28";"88";"Einsatz";"GU+UR";"WSG-052";"Kloten";"Entsorgung/Kehrichtdienst, Gartenpflege/Gruenunterhalt (Mrz-Nov), Treppenhausreinigung"
